rover,earth_date,camera,photo_count,total_photos,photo_ratio
curiosity,2023-01-01,FHAZ,5,357,0.0140056022408963
curiosity,2023-01-01,RHAZ,2,357,0.0056022408963585
curiosity,2023-01-01,MAST,243,357,0.680672268907563
curiosity,2023-01-01,CHEMCAM,28,357,0.0784313725490196
curiosity,2023-01-01,MAHLI,68,357,0.1904761904761904
curiosity,2023-01-01,NAVCAM,11,357,0.0308123249299719
curiosity,2023-01-02,FHAZ,3,258,0.0116279069767441
curiosity,2023-01-02,RHAZ,2,258,0.0077519379844961
curiosity,2023-01-02,MAST,57,258,0.2209302325581395
curiosity,2023-01-02,CHEMCAM,3,258,0.0116279069767441
curiosity,2023-01-02,MAHLI,26,258,0.1007751937984496
curiosity,2023-01-02,MARDI,2,258,0.0077519379844961
curiosity,2023-01-02,NAVCAM,165,258,0.6395348837209303
curiosity,2023-01-03,MAST,28,50,0.56
curiosity,2023-01-03,CHEMCAM,4,50,0.08
curiosity,2023-01-03,NAVCAM,18,50,0.36
curiosity,2023-01-04,FHAZ,6,389,0.0154241645244215
curiosity,2023-01-04,RHAZ,2,389,0.0051413881748071
curiosity,2023-01-04,MAST,229,389,0.5886889460154242
curiosity,2023-01-04,CHEMCAM,24,389,0.0616966580976863
curiosity,2023-01-04,MAHLI,124,389,0.3187660668380462
curiosity,2023-01-04,NAVCAM,4,389,0.0102827763496143
curiosity,2023-01-05,FHAZ,2,422,0.0047393364928909
curiosity,2023-01-05,RHAZ,2,422,0.0047393364928909
curiosity,2023-01-05,MAST,157,422,0.3720379146919431
curiosity,2023-01-05,CHEMCAM,33,422,0.0781990521327014
curiosity,2023-01-05,MAHLI,20,422,0.0473933649289099
curiosity,2023-01-05,MARDI,2,422,0.0047393364928909
curiosity,2023-01-05,NAVCAM,206,422,0.4881516587677725
curiosity,2023-01-06,CHEMCAM,4,47,0.0851063829787234
curiosity,2023-01-06,NAVCAM,43,47,0.9148936170212766
curiosity,2023-01-07,FHAZ,6,277,0.0216606498194945
curiosity,2023-01-07,RHAZ,2,277,0.0072202166064981
curiosity,2023-01-07,MAST,155,277,0.5595667870036101
curiosity,2023-01-07,CHEMCAM,39,277,0.1407942238267148
curiosity,2023-01-07,MAHLI,71,277,0.2563176895306859
curiosity,2023-01-07,NAVCAM,4,277,0.0144404332129963
curiosity,2023-01-08,FHAZ,2,379,0.0052770448548812
curiosity,2023-01-08,RHAZ,2,379,0.0052770448548812
curiosity,2023-01-08,MAST,76,379,0.2005277044854881
curiosity,2023-01-08,CHEMCAM,13,379,0.0343007915567282
curiosity,2023-01-08,MAHLI,20,379,0.0527704485488126
curiosity,2023-01-08,MARDI,2,379,0.0052770448548812
curiosity,2023-01-08,NAVCAM,264,379,0.6965699208443272
curiosity,2023-01-09,MAST,136,173,0.7861271676300579
curiosity,2023-01-09,CHEMCAM,4,173,0.0231213872832369
curiosity,2023-01-09,NAVCAM,33,173,0.1907514450867052
curiosity,2023-01-10,FHAZ,5,545,0.0091743119266055
curiosity,2023-01-10,RHAZ,2,545,0.0036697247706422
curiosity,2023-01-10,MAST,278,545,0.5100917431192661
curiosity,2023-01-10,CHEMCAM,33,545,0.0605504587155963
curiosity,2023-01-10,MAHLI,84,545,0.1541284403669724
curiosity,2023-01-10,MARDI,2,545,0.0036697247706422
curiosity,2023-01-10,NAVCAM,141,545,0.2587155963302752
curiosity,2023-01-11,MAST,8,38,0.2105263157894736
curiosity,2023-01-11,CHEMCAM,4,38,0.1052631578947368
curiosity,2023-01-11,NAVCAM,26,38,0.6842105263157895
curiosity,2023-01-12,MAST,92,234,0.3931623931623931
curiosity,2023-01-12,CHEMCAM,43,234,0.1837606837606837
curiosity,2023-01-12,NAVCAM,99,234,0.4230769230769231
curiosity,2023-01-14,MAST,174,301,0.5780730897009967
curiosity,2023-01-14,CHEMCAM,21,301,0.0697674418604651
curiosity,2023-01-14,NAVCAM,106,301,0.3521594684385382
curiosity,2023-01-15,FHAZ,7,280,0.025
curiosity,2023-01-15,RHAZ,2,280,0.0071428571428571
curiosity,2023-01-15,MAST,121,280,0.4321428571428571
curiosity,2023-01-15,CHEMCAM,34,280,0.1214285714285714
curiosity,2023-01-15,MAHLI,103,280,0.3678571428571429
curiosity,2023-01-15,NAVCAM,13,280,0.0464285714285714
curiosity,2023-01-16,MAST,293,339,0.8643067846607669
curiosity,2023-01-16,CHEMCAM,22,339,0.0648967551622418
curiosity,2023-01-16,NAVCAM,24,339,0.0707964601769911
curiosity,2023-01-17,FHAZ,2,359,0.0055710306406685
curiosity,2023-01-17,RHAZ,2,359,0.0055710306406685
curiosity,2023-01-17,MAST,167,359,0.4651810584958217
curiosity,2023-01-17,CHEMCAM,24,359,0.0668523676880222
curiosity,2023-01-17,MAHLI,24,359,0.0668523676880222
curiosity,2023-01-17,MARDI,2,359,0.0055710306406685
curiosity,2023-01-17,NAVCAM,138,359,0.3844011142061281
curiosity,2023-01-18,FHAZ,5,420,0.0119047619047619
curiosity,2023-01-18,RHAZ,2,420,0.0047619047619047
curiosity,2023-01-18,MAST,200,420,0.4761904761904761
curiosity,2023-01-18,CHEMCAM,24,420,0.0571428571428571
curiosity,2023-01-18,MAHLI,55,420,0.1309523809523809
curiosity,2023-01-18,MARDI,1,420,0.0023809523809523
curiosity,2023-01-18,NAVCAM,133,420,0.3166666666666666
curiosity,2023-01-19,FHAZ,12,310,0.0387096774193548
curiosity,2023-01-19,RHAZ,2,310,0.0064516129032258
curiosity,2023-01-19,MAST,197,310,0.635483870967742
curiosity,2023-01-19,CHEMCAM,6,310,0.0193548387096774
curiosity,2023-01-19,MAHLI,82,310,0.2645161290322581
curiosity,2023-01-19,NAVCAM,11,310,0.0354838709677419
curiosity,2023-01-20,MAST,78,90,0.8666666666666667
curiosity,2023-01-20,CHEMCAM,4,90,0.0444444444444444
curiosity,2023-01-20,NAVCAM,8,90,0.0888888888888888
curiosity,2023-01-21,FHAZ,33,48,0.6875
curiosity,2023-01-21,RHAZ,2,48,0.0416666666666666
curiosity,2023-01-21,MAST,5,48,0.1041666666666666
curiosity,2023-01-21,MAHLI,6,48,0.125
curiosity,2023-01-21,NAVCAM,2,48,0.0416666666666666
curiosity,2023-01-22,FHAZ,3,226,0.0132743362831858
curiosity,2023-01-22,RHAZ,2,226,0.0088495575221238
curiosity,2023-01-22,MAST,171,226,0.7566371681415929
curiosity,2023-01-22,CHEMCAM,50,226,0.2212389380530973
curiosity,2023-01-23,MAST,116,156,0.7435897435897436
curiosity,2023-01-23,CHEMCAM,8,156,0.0512820512820512
curiosity,2023-01-23,NAVCAM,32,156,0.2051282051282051
curiosity,2023-01-24,FHAZ,3,320,0.009375
curiosity,2023-01-24,RHAZ,2,320,0.00625
curiosity,2023-01-24,MAST,108,320,0.3375
curiosity,2023-01-24,CHEMCAM,4,320,0.0125
curiosity,2023-01-24,MAHLI,51,320,0.159375
curiosity,2023-01-24,MARDI,2,320,0.00625
curiosity,2023-01-24,NAVCAM,150,320,0.46875
curiosity,2023-01-25,MAST,10,10,1.0
curiosity,2023-01-26,FHAZ,5,295,0.0169491525423728
curiosity,2023-01-26,RHAZ,2,295,0.0067796610169491
curiosity,2023-01-26,MAST,155,295,0.5254237288135594
curiosity,2023-01-26,CHEMCAM,4,295,0.0135593220338983
curiosity,2023-01-26,MAHLI,102,295,0.3457627118644067
curiosity,2023-01-26,NAVCAM,27,295,0.0915254237288135
curiosity,2023-01-27,FHAZ,2,551,0.0036297640653357
curiosity,2023-01-27,RHAZ,2,551,0.0036297640653357
curiosity,2023-01-27,MAST,345,551,0.6261343012704175
curiosity,2023-01-27,CHEMCAM,24,551,0.043557168784029
curiosity,2023-01-27,MAHLI,36,551,0.0653357531760435
curiosity,2023-01-27,MARDI,2,551,0.0036297640653357
curiosity,2023-01-27,NAVCAM,140,551,0.2540834845735027
curiosity,2023-01-28,FHAZ,5,287,0.0174216027874564
curiosity,2023-01-28,RHAZ,2,287,0.0069686411149825
curiosity,2023-01-28,MAST,152,287,0.5296167247386759
curiosity,2023-01-28,CHEMCAM,22,287,0.0766550522648083
