rover,earth_date,camera,photo_count,total_photos
curiosity,2023-01-01,FHAZ,5,357
curiosity,2023-01-01,RHAZ,2,357
curiosity,2023-01-01,MAST,243,357
curiosity,2023-01-01,CHEMCAM,28,357
curiosity,2023-01-01,MAHLI,68,357
curiosity,2023-01-01,NAVCAM,11,357
curiosity,2023-01-02,FHAZ,3,258
curiosity,2023-01-02,RHAZ,2,258
curiosity,2023-01-02,MAST,57,258
curiosity,2023-01-02,CHEMCAM,3,258
curiosity,2023-01-02,MAHLI,26,258
curiosity,2023-01-02,MARDI,2,258
curiosity,2023-01-02,NAVCAM,165,258
curiosity,2023-01-03,MAST,28,50
curiosity,2023-01-03,CHEMCAM,4,50
curiosity,2023-01-03,NAVCAM,18,50
curiosity,2023-01-04,FHAZ,6,389
curiosity,2023-01-04,RHAZ,2,389
curiosity,2023-01-04,MAST,229,389
curiosity,2023-01-04,CHEMCAM,24,389
curiosity,2023-01-04,MAHLI,124,389
curiosity,2023-01-04,NAVCAM,4,389
curiosity,2023-01-05,FHAZ,2,422
curiosity,2023-01-05,RHAZ,2,422
curiosity,2023-01-05,MAST,157,422
curiosity,2023-01-05,CHEMCAM,33,422
curiosity,2023-01-05,MAHLI,20,422
curiosity,2023-01-05,MARDI,2,422
curiosity,2023-01-05,NAVCAM,206,422
curiosity,2023-01-06,CHEMCAM,4,47
curiosity,2023-01-06,NAVCAM,43,47
curiosity,2023-01-07,FHAZ,6,277
curiosity,2023-01-07,RHAZ,2,277
curiosity,2023-01-07,MAST,155,277
curiosity,2023-01-07,CHEMCAM,39,277
curiosity,2023-01-07,MAHLI,71,277
curiosity,2023-01-07,NAVCAM,4,277
curiosity,2023-01-08,FHAZ,2,379
curiosity,2023-01-08,RHAZ,2,379
curiosity,2023-01-08,MAST,76,379
curiosity,2023-01-08,CHEMCAM,13,379
curiosity,2023-01-08,MAHLI,20,379
curiosity,2023-01-08,MARDI,2,379
curiosity,2023-01-08,NAVCAM,264,379
curiosity,2023-01-09,MAST,136,173
curiosity,2023-01-09,CHEMCAM,4,173
curiosity,2023-01-09,NAVCAM,33,173
curiosity,2023-01-10,FHAZ,5,545
curiosity,2023-01-10,RHAZ,2,545
curiosity,2023-01-10,MAST,278,545
curiosity,2023-01-10,CHEMCAM,33,545
curiosity,2023-01-10,MAHLI,84,545
curiosity,2023-01-10,MARDI,2,545
curiosity,2023-01-10,NAVCAM,141,545
curiosity,2023-01-11,MAST,8,38
curiosity,2023-01-11,CHEMCAM,4,38
curiosity,2023-01-11,NAVCAM,26,38
curiosity,2023-01-12,MAST,92,234
curiosity,2023-01-12,CHEMCAM,43,234
curiosity,2023-01-12,NAVCAM,99,234
curiosity,2023-01-13,,0,0
curiosity,2023-01-14,MAST,174,301
curiosity,2023-01-14,CHEMCAM,21,301
curiosity,2023-01-14,NAVCAM,106,301
curiosity,2023-01-15,FHAZ,7,280
curiosity,2023-01-15,RHAZ,2,280
curiosity,2023-01-15,MAST,121,280
curiosity,2023-01-15,CHEMCAM,34,280
curiosity,2023-01-15,MAHLI,103,280
curiosity,2023-01-15,NAVCAM,13,280
curiosity,2023-01-16,MAST,293,339
curiosity,2023-01-16,CHEMCAM,22,339
curiosity,2023-01-16,NAVCAM,24,339
curiosity,2023-01-17,FHAZ,2,359
curiosity,2023-01-17,RHAZ,2,359
curiosity,2023-01-17,MAST,167,359
curiosity,2023-01-17,CHEMCAM,24,359
curiosity,2023-01-17,MAHLI,24,359
curiosity,2023-01-17,MARDI,2,359
curiosity,2023-01-17,NAVCAM,138,359
curiosity,2023-01-18,FHAZ,5,420
curiosity,2023-01-18,RHAZ,2,420
curiosity,2023-01-18,MAST,200,420
curiosity,2023-01-18,CHEMCAM,24,420
curiosity,2023-01-18,MAHLI,55,420
curiosity,2023-01-18,MARDI,1,420
curiosity,2023-01-18,NAVCAM,133,420
curiosity,2023-01-19,FHAZ,12,310
curiosity,2023-01-19,RHAZ,2,310
curiosity,2023-01-19,MAST,197,310
curiosity,2023-01-19,CHEMCAM,6,310
curiosity,2023-01-19,MAHLI,82,310
curiosity,2023-01-19,NAVCAM,11,310
curiosity,2023-01-20,MAST,78,90
curiosity,2023-01-20,CHEMCAM,4,90
curiosity,2023-01-20,NAVCAM,8,90
curiosity,2023-01-21,FHAZ,33,48
curiosity,2023-01-21,RHAZ,2,48
curiosity,2023-01-21,MAST,5,48
curiosity,2023-01-21,MAHLI,6,48
curiosity,2023-01-21,NAVCAM,2,48
curiosity,2023-01-22,FHAZ,3,226
curiosity,2023-01-22,RHAZ,2,226
curiosity,2023-01-22,MAST,171,226
curiosity,2023-01-22,CHEMCAM,50,226
curiosity,2023-01-23,MAST,116,156
curiosity,2023-01-23,CHEMCAM,8,156
curiosity,2023-01-23,NAVCAM,32,156
curiosity,2023-01-24,FHAZ,3,320
curiosity,2023-01-24,RHAZ,2,320
curiosity,2023-01-24,MAST,108,320
curiosity,2023-01-24,CHEMCAM,4,320
curiosity,2023-01-24,MAHLI,51,320
curiosity,2023-01-24,MARDI,2,320
curiosity,2023-01-24,NAVCAM,150,320
curiosity,2023-01-25,MAST,10,10
curiosity,2023-01-26,FHAZ,5,295
curiosity,2023-01-26,RHAZ,2,295
curiosity,2023-01-26,MAST,155,295
curiosity,2023-01-26,CHEMCAM,4,295
curiosity,2023-01-26,MAHLI,102,295
curiosity,2023-01-26,NAVCAM,27,295
curiosity,2023-01-27,FHAZ,2,551
curiosity,2023-01-27,RHAZ,2,551
curiosity,2023-01-27,MAST,345,551
curiosity,2023-01-27,CHEMCAM,24,551
curiosity,2023-01-27,MAHLI,36,551
curiosity,2023-01-27,MARDI,2,551
curiosity,2023-01-27,NAVCAM,140,551
curiosity,2023-01-28,FHAZ,5,287
curiosity,2023-01-28,RHAZ,2,287
curiosity,2023-01-28,MAST,152,287
curiosity,2023-01-28,CHEMCAM,22,287
curiosity,2023-01-28,MAHLI,72,287
curiosity,2023-01-28,NAVCAM,34,287
curiosity,2023-01-29,CHEMCAM,41,41
curiosity,2023-01-30,FHAZ,2,402
curiosity,2023-01-30,RHAZ,2,402
curiosity,2023-01-30,MAST,258,402
curiosity,2023-01-30,CHEMCAM,4,402
curiosity,2023-01-30,MAHLI,24,402
curiosity,2023-01-30,NAVCAM,112,402
curiosity,2023-01-31,FHAZ,4,514
curiosity,2023-01-31,RHAZ,2,514
curiosity,2023-01-31,MAST,305,514
curiosity,2023-01-31,CHEMCAM,21,514
curiosity,2023-01-31,MAHLI,33,514
curiosity,2023-01-31,NAVCAM,149,514
Perseverance,2023-01-01,EDL_RDCAM,190,469
Perseverance,2023-01-01,EDL_PUCAM1,190,469
Perseverance,2023-01-01,MCZ_RIGHT,42,469
Perseverance,2023-01-01,MCZ_LEFT,42,469
Perseverance,2023-01-01,SKYCAM,5,469
Perseverance,2023-01-02,NAVCAM_LEFT,15,33
Perseverance,2023-01-02,MCZ_RIGHT,7,33
Perseverance,2023-01-02,MCZ_LEFT,7,33
Perseverance,2023-01-02,SKYCAM,2,33
Perseverance,2023-01-02,SUPERCAM_RMI,2,33
