rover,earth_date,camera,photo_count,total_photos,photo_ratio
curiosity,2023-01-01,FHAZ,5,357,0.014005602240896359
curiosity,2023-01-01,RHAZ,2,357,0.0056022408963585435
curiosity,2023-01-01,MAST,243,357,0.680672268907563
curiosity,2023-01-01,CHEMCAM,28,357,0.0784313725490196
curiosity,2023-01-01,MAHLI,68,357,0.19047619047619047
curiosity,2023-01-01,NAVCAM,11,357,0.03081232492997199
curiosity,2023-01-02,FHAZ,3,258,0.011627906976744186
curiosity,2023-01-02,RHAZ,2,258,0.007751937984496124
curiosity,2023-01-02,MAST,57,258,0.22093023255813954
curiosity,2023-01-02,CHEMCAM,3,258,0.011627906976744186
curiosity,2023-01-02,MAHLI,26,258,0.10077519379844961
curiosity,2023-01-02,MARDI,2,258,0.007751937984496124
curiosity,2023-01-02,NAVCAM,165,258,0.6395348837209303
curiosity,2023-01-03,MAST,28,50,0.56
curiosity,2023-01-03,CHEMCAM,4,50,0.08
curiosity,2023-01-03,NAVCAM,18,50,0.36
curiosity,2023-01-04,FHAZ,6,389,0.015424164524421594
curiosity,2023-01-04,RHAZ,2,389,0.005141388174807198
curiosity,2023-01-04,MAST,229,389,0.5886889460154242
curiosity,2023-01-04,CHEMCAM,24,389,0.061696658097686374
curiosity,2023-01-04,MAHLI,124,389,0.31876606683804626
curiosity,2023-01-04,NAVCAM,4,389,0.010282776349614395
curiosity,2023-01-05,FHAZ,2,422,0.004739336492890996
curiosity,2023-01-05,RHAZ,2,422,0.004739336492890996
curiosity,2023-01-05,MAST,157,422,0.37203791469194314
curiosity,2023-01-05,CHEMCAM,33,422,0.07819905213270142
curiosity,2023-01-05,MAHLI,20,422,0.04739336492890995
curiosity,2023-01-05,MARDI,2,422,0.004739336492890996
curiosity,2023-01-05,NAVCAM,206,422,0.4881516587677725
curiosity,2023-01-06,CHEMCAM,4,47,0.0851063829787234
curiosity,2023-01-06,NAVCAM,43,47,0.9148936170212766
curiosity,2023-01-07,FHAZ,6,277,0.021660649819494584
curiosity,2023-01-07,RHAZ,2,277,0.007220216606498195
curiosity,2023-01-07,MAST,155,277,0.5595667870036101
curiosity,2023-01-07,CHEMCAM,39,277,0.1407942238267148
curiosity,2023-01-07,MAHLI,71,277,0.2563176895306859
curiosity,2023-01-07,NAVCAM,4,277,0.01444043321299639
curiosity,2023-01-08,FHAZ,2,379,0.005277044854881266
curiosity,2023-01-08,RHAZ,2,379,0.005277044854881266
curiosity,2023-01-08,MAST,76,379,0.20052770448548812
curiosity,2023-01-08,CHEMCAM,13,379,0.03430079155672823
curiosity,2023-01-08,MAHLI,20,379,0.052770448548812667
curiosity,2023-01-08,MARDI,2,379,0.005277044854881266
curiosity,2023-01-08,NAVCAM,264,379,0.6965699208443272
curiosity,2023-01-09,MAST,136,173,0.7861271676300579
curiosity,2023-01-09,CHEMCAM,4,173,0.023121387283236993
curiosity,2023-01-09,NAVCAM,33,173,0.1907514450867052
curiosity,2023-01-10,FHAZ,5,545,0.009174311926605505
curiosity,2023-01-10,RHAZ,2,545,0.003669724770642202
curiosity,2023-01-10,MAST,278,545,0.5100917431192661
curiosity,2023-01-10,CHEMCAM,33,545,0.060550458715596334
curiosity,2023-01-10,MAHLI,84,545,0.15412844036697249
curiosity,2023-01-10,MARDI,2,545,0.003669724770642202
curiosity,2023-01-10,NAVCAM,141,545,0.25871559633027524
curiosity,2023-01-11,MAST,8,38,0.21052631578947367
curiosity,2023-01-11,CHEMCAM,4,38,0.10526315789473684
curiosity,2023-01-11,NAVCAM,26,38,0.6842105263157895
curiosity,2023-01-12,MAST,92,234,0.39316239316239315
curiosity,2023-01-12,CHEMCAM,43,234,0.18376068376068377
curiosity,2023-01-12,NAVCAM,99,234,0.4230769230769231
curiosity,2023-01-14,MAST,174,301,0.5780730897009967
curiosity,2023-01-14,CHEMCAM,21,301,0.06976744186046512
curiosity,2023-01-14,NAVCAM,106,301,0.3521594684385382
curiosity,2023-01-15,FHAZ,7,280,0.025
curiosity,2023-01-15,RHAZ,2,280,0.007142857142857143
curiosity,2023-01-15,MAST,121,280,0.43214285714285716
curiosity,2023-01-15,CHEMCAM,34,280,0.12142857142857143
curiosity,2023-01-15,MAHLI,103,280,0.3678571428571429
curiosity,2023-01-15,NAVCAM,13,280,0.04642857142857143
curiosity,2023-01-16,MAST,293,339,0.8643067846607669
curiosity,2023-01-16,CHEMCAM,22,339,0.06489675516224189
curiosity,2023-01-16,NAVCAM,24,339,0.07079646017699115
curiosity,2023-01-17,FHAZ,2,359,0.005571030640668524
curiosity,2023-01-17,RHAZ,2,359,0.005571030640668524
curiosity,2023-01-17,MAST,167,359,0.46518105849582175
curiosity,2023-01-17,CHEMCAM,24,359,0.06685236768802229
curiosity,2023-01-17,MAHLI,24,359,0.06685236768802229
curiosity,2023-01-17,MARDI,2,359,0.005571030640668524
curiosity,2023-01-17,NAVCAM,138,359,0.38440111420612816
curiosity,2023-01-18,FHAZ,5,420,0.011904761904761904
curiosity,2023-01-18,RHAZ,2,420,0.004761904761904762
curiosity,2023-01-18,MAST,200,420,0.47619047619047616
curiosity,2023-01-18,CHEMCAM,24,420,0.05714285714285714
curiosity,2023-01-18,MAHLI,55,420,0.13095238095238096
curiosity,2023-01-18,MARDI,1,420,0.002380952380952381
curiosity,2023-01-18,NAVCAM,133,420,0.31666666666666665
curiosity,2023-01-19,FHAZ,12,310,0.03870967741935484
curiosity,2023-01-19,RHAZ,2,310,0.0064516129032258064
curiosity,2023-01-19,MAST,197,310,0.635483870967742
curiosity,2023-01-19,CHEMCAM,6,310,0.01935483870967742
curiosity,2023-01-19,MAHLI,82,310,0.2645161290322581
curiosity,2023-01-19,NAVCAM,11,310,0.035483870967741936
curiosity,2023-01-20,MAST,78,90,0.8666666666666667
curiosity,2023-01-20,CHEMCAM,4,90,0.044444444444444446
curiosity,2023-01-20,NAVCAM,8,90,0.08888888888888889
curiosity,2023-01-21,FHAZ,33,48,0.6875
curiosity,2023-01-21,RHAZ,2,48,0.041666666666666664
curiosity,2023-01-21,MAST,5,48,0.10416666666666667
curiosity,2023-01-21,MAHLI,6,48,0.125
curiosity,2023-01-21,NAVCAM,2,48,0.041666666666666664
curiosity,2023-01-22,FHAZ,3,226,0.01327433628318584
curiosity,2023-01-22,RHAZ,2,226,0.008849557522123894
curiosity,2023-01-22,MAST,171,226,0.7566371681415929
curiosity,2023-01-22,CHEMCAM,50,226,0.22123893805309736
curiosity,2023-01-23,MAST,116,156,0.7435897435897436
curiosity,2023-01-23,CHEMCAM,8,156,0.05128205128205128
curiosity,2023-01-23,NAVCAM,32,156,0.20512820512820512
curiosity,2023-01-24,FHAZ,3,320,0.009375
curiosity,2023-01-24,RHAZ,2,320,0.00625
curiosity,2023-01-24,MAST,108,320,0.3375
curiosity,2023-01-24,CHEMCAM,4,320,0.0125
curiosity,2023-01-24,MAHLI,51,320,0.159375
curiosity,2023-01-24,MARDI,2,320,0.00625
curiosity,2023-01-24,NAVCAM,150,320,0.46875
curiosity,2023-01-25,MAST,10,10,1.0
curiosity,2023-01-26,FHAZ,5,295,0.01694915254237288
curiosity,2023-01-26,RHAZ,2,295,0.006779661016949152
curiosity,2023-01-26,MAST,155,295,0.5254237288135594
curiosity,2023-01-26,CHEMCAM,4,295,0.013559322033898305
curiosity,2023-01-26,MAHLI,102,295,0.34576271186440677
curiosity,2023-01-26,NAVCAM,27,295,0.09152542372881356
curiosity,2023-01-27,FHAZ,2,551,0.003629764065335753
curiosity,2023-01-27,RHAZ,2,551,0.003629764065335753
curiosity,2023-01-27,MAST,345,551,0.6261343012704175
curiosity,2023-01-27,CHEMCAM,24,551,0.043557168784029036
curiosity,2023-01-27,MAHLI,36,551,0.06533575317604355
curiosity,2023-01-27,MARDI,2,551,0.003629764065335753
curiosity,2023-01-27,NAVCAM,140,551,0.2540834845735027
curiosity,2023-01-28,FHAZ,5,287,0.017421602787456445
curiosity,2023-01-28,RHAZ,2,287,0.006968641114982578
curiosity,2023-01-28,MAST,152,287,0.5296167247386759
curiosity,2023-01-28,CHEMCAM,22,287,0.07665505226480836
curiosity,2023-01-28,MAHLI,72,287,0.2508710801393728
curiosity,2023-01-28,NAVCAM,34,287,0.11846689895470383
curiosity,2023-01-29,CHEMCAM,41,41,1.0
curiosity,2023-01-30,FHAZ,2,402,0.004975124378109453
curiosity,2023-01-30,RHAZ,2,402,0.004975124378109453
curiosity,2023-01-30,MAST,258,402,0.6417910447761194
curiosity,2023-01-30,CHEMCAM,4,402,0.009950248756218905
curiosity,2023-01-30,MAHLI,24,402,0.05970149253731343
curiosity,2023-01-30,NAVCAM,112,402,0.27860696517412936
curiosity,2023-01-31,FHAZ,4,514,0.007782101167315175
curiosity,2023-01-31,RHAZ,2,514,0.0038910505836575876
curiosity,2023-01-31,MAST,305,514,0.5933852140077821
curiosity,2023-01-31,CHEMCAM,21,514,0.04085603112840467
curiosity,2023-01-31,MAHLI,33,514,0.06420233463035019
curiosity,2023-01-31,NAVCAM,149,514,0.2898832684824903
Perseverance,2023-01-01,EDL_RDCAM,190,469,0.4051172707889126
Perseverance,2023-01-01,EDL_PUCAM1,190,469,0.4051172707889126
Perseverance,2023-01-01,MCZ_RIGHT,42,469,0.08955223880597014
Perseverance,2023-01-01,MCZ_LEFT,42,469,0.08955223880597014
Perseverance,2023-01-01,SKYCAM,5,469,0.010660980810234541
Perseverance,2023-01-02,NAVCAM_LEFT,15,33,0.45454545454545453
Perseverance,2023-01-02,MCZ_RIGHT,7,33,0.21212121212121213
Perseverance,2023-01-02,MCZ_LEFT,7,33,0.21212121212121213
Perseverance,2023-01-02,SKYCAM,2,33,0.06060606060606061
Perseverance,2023-01-02,SUPERCAM_RMI,2,33,0.06060606060606061
Perseverance,2023-01-03,EDL_PUCAM2,195,235,0.8297872340425532
Perseverance,2023-01-03,SKYCAM,4,235,0.01702127659574468
Perseverance,2023-01-03,SHERLOC_WATSON,36,235,0.15319148936170213
Perseverance,2023-01-04,NAVCAM_LEFT,126,332,0.3795180722891566
Perseverance,2023-01-04,NAVCAM_RIGHT,85,332,0.2560240963855422
Perseverance,2023-01-04,MCZ_RIGHT,13,332,0.0391566265060241
Perseverance,2023-01-04,MCZ_LEFT,13,332,0.0391566265060241
Perseverance,2023-01-04,FRONT_HAZCAM_LEFT_A,42,332,0.12650602409638553
Perseverance,2023-01-04,FRONT_HAZCAM_RIGHT_A,41,332,0.12349397590361445
Perseverance,2023-01-04,REAR_HAZCAM_LEFT,4,332,0.012048192771084338
Perseverance,2023-01-04,REAR_HAZCAM_RIGHT,4,332,0.012048192771084338
Perseverance,2023-01-04,SKYCAM,4,332,0.012048192771084338
Perseverance,2023-01-05,EDL_RDCAM,190,564,0.33687943262411346
Perseverance,2023-01-05,EDL_PUCAM1,195,564,0.34574468085106386
Perseverance,2023-01-05,NAVCAM_LEFT,21,564,0.03723404255319149
Perseverance,2023-01-05,MCZ_RIGHT,40,564,0.07092198581560284
Perseverance,2023-01-05,MCZ_LEFT,40,564,0.07092198581560284
Perseverance,2023-01-05,SHERLOC_WATSON,36,564,0.06382978723404255
Perseverance,2023-01-05,SUPERCAM_RMI,42,564,0.07446808510638298
Perseverance,2023-01-06,EDL_PUCAM1,145,746,0.19436997319034852
Perseverance,2023-01-06,EDL_PUCAM2,195,746,0.2613941018766756
Perseverance,2023-01-06,NAVCAM_LEFT,44,746,0.058981233243967826
Perseverance,2023-01-06,MCZ_RIGHT,177,746,0.23726541554959785
Perseverance,2023-01-06,MCZ_LEFT,177,746,0.23726541554959785
Perseverance,2023-01-06,SUPERCAM_RMI,8,746,0.010723860589812333
Perseverance,2023-01-07,NAVCAM_LEFT,102,850,0.12
Perseverance,2023-01-07,NAVCAM_RIGHT,80,850,0.09411764705882353
Perseverance,2023-01-07,MCZ_RIGHT,305,850,0.3588235294117647
Perseverance,2023-01-07,MCZ_LEFT,237,850,0.2788235294117647
Perseverance,2023-01-07,FRONT_HAZCAM_LEFT_A,49,850,0.05764705882352941
Perseverance,2023-01-07,FRONT_HAZCAM_RIGHT_A,49,850,0.05764705882352941
Perseverance,2023-01-07,REAR_HAZCAM_LEFT,4,850,0.004705882352941176
Perseverance,2023-01-07,REAR_HAZCAM_RIGHT,4,850,0.004705882352941176
Perseverance,2023-01-07,SUPERCAM_RMI,20,850,0.023529411764705882
Perseverance,2023-01-08,NAVCAM_LEFT,44,80,0.55
Perseverance,2023-01-08,MCZ_RIGHT,14,80,0.175
Perseverance,2023-01-08,MCZ_LEFT,14,80,0.175
Perseverance,2023-01-08,SUPERCAM_RMI,8,80,0.1
Perseverance,2023-01-09,NAVCAM_LEFT,29,137,0.2116788321167883
Perseverance,2023-01-09,MCZ_RIGHT,33,137,0.24087591240875914
Perseverance,2023-01-09,MCZ_LEFT,33,137,0.24087591240875914
Perseverance,2023-01-09,SKYCAM,2,137,0.014598540145985401
Perseverance,2023-01-09,SHERLOC_WATSON,40,137,0.291970802919708
Perseverance,2023-01-10,EDL_PUCAM2,200,288,0.6944444444444444
Perseverance,2023-01-10,NAVCAM_LEFT,42,288,0.14583333333333334
Perseverance,2023-01-10,MCZ_RIGHT,12,288,0.041666666666666664
Perseverance,2023-01-10,SKYCAM,2,288,0.006944444444444444
Perseverance,2023-01-10,SUPERCAM_RMI,32,288,0.1111111111111111
Perseverance,2023-01-11,NAVCAM_LEFT,106,349,0.3037249283667622
Perseverance,2023-01-11,NAVCAM_RIGHT,91,349,0.2607449856733524
